state_name,county_name,fips_code,report_date,cases_per_100K_7_day_count_change,percent_test_results_reported_positive_last_7_days,community_transmission_level
North Dakota,Oliver County,38065,8/22/2021,suppressed,,high
Oregon,Jackson County,41029,8/22/2021,709.23,19.38,high
Florida,Holmes County,12059,8/22/2021,948.16,30.28,high
Illinois,White County,17193,8/22/2021,768.26,10.27,high
Iowa,Tama County,19171,8/22/2021,130.53,18.18,high
Kentucky,Mercer County,21167,8/22/2021,734.05,16.01,high
Michigan,Gladwin County,26051,8/22/2021,70.73,7.34,substantial
California,San Joaquin County,6077,8/22/2021,286.95,8.84,high
Illinois,Richland County,17159,8/22/2021,515.7,15.16,high
North Carolina,Graham County,37075,8/22/2021,580.5,22.12,high
South Carolina,Hampton County,45049,8/22/2021,665.9,22.52,high
Texas,Bosque County,48035,8/22/2021,224.78,16.67,high
Colorado,Rio Grande County,8105,8/29/2021,284.02,9.29,high
Georgia,Polk County,13233,8/29/2021,795.53,33.92,high
Missouri,Gasconade County,29073,8/29/2021,292.4,16.53,high
North Carolina,Cleveland County,37045,8/29/2021,649.33,19.01,high
North Carolina,Yadkin County,37197,8/29/2021,483.18,14.03,high
North Dakota,Sioux County,38085,8/29/2021,suppressed,5.41,high
Ohio,Mercer County,39107,8/29/2021,179.73,10.89,high
Illinois,Kane County,17089,8/29/2021,154.39,5.21,high
Michigan,Huron County,26063,8/29/2021,180.76,16.48,high
New York,Cattaraugus County,36009,8/29/2021,127.44,9.29,high
North Dakota,Towner County,38095,8/29/2021,suppressed,21.74,high
Pennsylvania,Lancaster County,42071,8/29/2021,194.97,10.43,high
Arizona,Pima County,4019,8/29/2021,199.09,7.71,high
Illinois,Bureau County,17011,8/29/2021,113.4,3.1,high
Kansas,Cherokee County,20021,8/29/2021,280.86,27.91,high
North Carolina,Lenoir County,37107,8/29/2021,532.63,10,high
South Carolina,Marion County,45067,8/29/2021,528.43,17.51,high
Texas,Bowie County,48037,8/29/2021,435.41,19.62,high
Washington,King County,53033,8/29/2021,190.08,58.06,high
Illinois,Mercer County,17131,8/29/2021,485.85,9.69,high
Kansas,Jefferson County,20087,8/29/2021,399.1,15.29,high
