FIPS,State,County,ReportDate,Cases,IR,Vaccinations,VR
38065,"North Dakota","Oliver County",2021-08-22,NULL,NULL,399,20.4
41029,Oregon,"Jackson County",2021-08-22,709.23,19.38,101330,45.9
12059,Florida,"Holmes County",2021-08-22,948.16,30.28,4366,22.3
17193,Illinois,"White County",2021-08-22,768.26,10.27,4961,36.6
19171,Iowa,"Tama County",2021-08-22,130.53,18.18,8686,51.5
21167,Kentucky,"Mercer County",2021-08-22,734.05,16.01,9769,44.5
26051,Michigan,"Gladwin County",2021-08-22,70.73,7.34,10337,40.6
6077,California,"San Joaquin County",2021-08-22,286.95,8.84,321973,42.2
17159,Illinois,"Richland County",2021-08-22,515.7,15.16,5574,35.9
37075,"North Carolina","Graham County",2021-08-22,580.5,22.12,3076,36.4
45049,"South Carolina","Hampton County",2021-08-22,665.9,22.52,8977,46.7
48035,Texas,"Bosque County",2021-08-22,224.78,16.67,NULL,NULL
8105,Colorado,"Rio Grande County",2021-08-29,284.02,9.29,5743,51
13233,Georgia,"Polk County",2021-08-29,795.53,33.92,3815,9
29073,Missouri,"Gasconade County",2021-08-29,292.4,16.53,6318,43
37045,"North Carolina","Cleveland County",2021-08-29,649.33,19.01,35168,35.9
37197,"North Carolina","Yadkin County",2021-08-29,483.18,14.03,14344,38.1
38085,"North Dakota","Sioux County",2021-08-29,NULL,5.41,1308,30.9
39107,Ohio,"Mercer County",2021-08-29,179.73,10.89,10950,26.6
17089,Illinois,"Kane County",2021-08-29,154.39,5.21,261447,49.1
26063,Michigan,"Huron County",2021-08-29,180.76,16.48,14410,46.5
36009,"New York","Cattaraugus County",2021-08-29,127.44,9.29,34994,46
38095,"North Dakota","Towner County",2021-08-29,NULL,21.74,857,39.2
42071,Pennsylvania,"Lancaster County",2021-08-29,194.97,10.43,287464,52.7
4019,Arizona,"Pima County",2021-08-29,199.09,7.71,575874,55
17011,Illinois,"Bureau County",2021-08-29,113.4,3.1,13946,42.7
20021,Kansas,"Cherokee County",2021-08-29,280.86,27.91,7391,37.1
37107,"North Carolina","Lenoir County",2021-08-29,532.63,10,22363,40
45067,"South Carolina","Marion County",2021-08-29,528.43,17.51,11348,37
48037,Texas,"Bowie County",2021-08-29,435.41,19.62,NULL,NULL
53033,Washington,"King County",2021-08-29,190.08,58.06,1558882,69.2
17131,Illinois,"Mercer County",2021-08-29,485.85,9.69,7071,45.8
20087,Kansas,"Jefferson County",2021-08-29,399.1,15.29,8449,44.4
22051,Louisiana,"Jefferson Parish",2021-08-29,589.37,12.53,230492,53.3
49009,Utah,"Daggett County",2021-09-01,NULL,33.33,460,48.4
13039,Georgia,"Camden County",2021-09-01,771.96,22.89,20023,36.6
18111,Indiana,"Newton County",2021-09-01,121.57,5.49,3673,26.3
51079,Virginia,"Greene County",2021-09-01,247.24,7.36,543,2.7
13013,Georgia,"Barrow County",2021-09-01,663.14,20.85,12925,15.5
21059,Kentucky,"Daviess County",2021-09-01,538.86,14.86,45905,45.2
17031,Illinois,"Cook County",2021-09-08,136.91,3.88,2784710,54.1
17067,Illinois,"Hancock County",2021-09-08,530.83,15.68,6811,38.5
37043,"North Carolina","Clay County",2021-09-08,810.26,26.87,3463,30.8
54069,"West Virginia","Ohio County",2021-09-08,333.24,5.77,3911,9.4
32027,Nevada,"Pershing County",2021-09-08,223.05,5.17,2042,30.4
42035,Pennsylvania,"Clinton County",2021-09-08,155.31,8.7,14300,37
55031,Wisconsin,"Douglas County",2021-09-08,139.05,5.24,15709,36.4
13163,Georgia,"Jefferson County",2021-09-08,442.65,6.7,3923,25.5
19021,Iowa,"Buena Vista County",2021-09-08,540.27,17.17,10573,53.9
39057,Ohio,"Greene County",2021-09-08,520.31,17.71,78438,46.4
8069,Colorado,"Larimer County",2021-09-08,249.37,8.16,206238,57.8
48455,Texas,"Trinity County",2021-09-08,682.55,18.13,NULL,NULL
51700,Virginia,"Newport News City",2021-09-08,318.04,19.56,54777,30.6
39039,Ohio,"Defiance County",2021-09-15,511.99,12.66,14049,36.9
45025,"South Carolina","Chesterfield County",2021-09-15,516.98,12.19,13543,29.7
48259,Texas,"Kendall County",2021-09-15,444.86,11.37,NULL,NULL
48441,Texas,"Taylor County",2021-09-15,NULL,16.09,NULL,NULL
21229,Kentucky,"Washington County",2021-09-15,793.72,12.98,5388,44.5
29033,Missouri,"Carroll County",2021-09-15,115.22,2.77,3680,42.4
37043,"North Carolina","Clay County",2021-09-15,765.74,32.69,3552,31.6
4023,Arizona,"Santa Cruz County",2021-09-15,161.3,7.48,40390,86.9
8049,Colorado,"Grand County",2021-09-15,298.72,11.52,8543,54.3
17045,Illinois,"Edgar County",2021-09-15,565.24,7.29,6217,36.2
