FIPS,State,ReportDate,Cases,IR,Vaccinations,VR
1,Alabama,2021-08-22,41624.2,21.8958,1530729,28.497
1,Alabama,2021-08-29,36395.2,22.3472,1596142,29.7448
1,Alabama,2021-09-01,44959.9,21.6525,1625303,30.3134
1,Alabama,2021-09-08,37480.1,22.339,1671636,31.2806
1,Alabama,2021-09-15,36329.4,19.0003,1845162,34.7672
1,Alabama,2021-09-22,30789.6,17.0443,1889210,35.7299
1,Alabama,2021-09-29,25360.3,14.8,1926335,36.5104
1,Alabama,2021-10-01,21228.8,15.031,1933508,36.6552
1,Alabama,2021-10-08,14536.9,12.5969,1967477,37.3478
1,Alabama,2021-10-15,9813.3,10.9163,1986588,37.7388
1,Alabama,2021-10-22,8124.11,9.38075,2008683,38.1657
1,Alabama,2021-10-29,21290.4,7.6547,2027973,38.5731
1,Alabama,2021-11-01,19164.5,6.69615,2034466,38.7104
1,Alabama,2021-11-08,6789.74,5.71636,2049472,39.006
1,Alabama,2021-11-15,6690.64,5.62687,2065394,39.297
1,Alabama,2021-11-22,5902.6,6.0297,2079853,39.5896
1,Alabama,2021-11-29,3364.44,6.69561,2096032,39.9045
1,Alabama,2021-12-01,2922.48,6.39923,2100234,39.9851
2,Alaska,2021-08-22,13481,8.9195,332419,52.4172
2,Alaska,2021-08-29,11983,13.321,335845,52.8828
2,Alaska,2021-09-01,12827.4,13.5916,337239,53.0103
2,Alaska,2021-09-08,13508.1,9.99875,339988,53.3345
2,Alaska,2021-09-15,11343.7,8.69296,343687,53.731
2,Alaska,2021-09-22,18129.9,17.573,349906,54.1517
2,Alaska,2021-09-29,27860.2,12.56,357065,54.6241
2,Alaska,2021-10-01,27235,13.3362,358387,54.7828
2,Alaska,2021-10-08,21376.9,11.1686,361392,55.1448
2,Alaska,2021-10-15,17989.5,8.69308,364261,55.5
2,Alaska,2021-10-22,16197,8.99833,368813,55.9172
2,Alaska,2021-10-29,14757.2,7.66353,371726,56.2828
2,Alaska,2021-11-01,15382.2,7.516,372850,56.4448
2,Alaska,2021-11-08,13873.1,7.60286,375151,56.7517
2,Alaska,2021-11-15,10738,8.99643,378231,57.0448
2,Alaska,2021-11-22,14306.3,8.48929,380969,57.3483
2,Alaska,2021-11-29,7265.71,5.99929,382346,57.5276
2,Alaska,2021-12-01,7402.03,6.125,383853,57.6483
4,Arizona,2021-08-22,3944.41,11.1067,3360260,49.5733
4,Arizona,2021-08-29,4413.48,10.192,3412999,50.3867
4,Arizona,2021-09-01,4428.49,10.7673,3433359,50.6333
4,Arizona,2021-09-08,4818.25,11.2873,3501478,51.5133
4,Arizona,2021-09-15,4270.39,13.2653,3543957,52.1067
4,Arizona,2021-09-22,4084.35,10.588,3587495,52.7467
4,Arizona,2021-09-29,3728.6,11.904,3624809,53.3
4,Arizona,2021-10-01,3881.08,12.072,3632548,53.4467
4,Arizona,2021-10-08,3750.52,10.51,3671159,53.92
4,Arizona,2021-10-15,3510.9,10.554,3701849,54.3333
4,Arizona,2021-10-22,4127.3,11.3833,3737071,54.74
4,Arizona,2021-10-29,4908.08,11.3007,3768991,55.2133
4,Arizona,2021-11-01,4750.24,13.4473,3782855,55.4
4,Arizona,2021-11-08,5391.24,13.8927,3810725,55.84
